updated	id	summary	description	status	assignee	created	creator	url
2017-12-17T12:14:32.636+0000	REG-48	Do the funky gibbon	No description	Backlog	Not assigned	2017-12-17T12:14:32.636+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10047
2017-12-17T12:14:15.762+0000	REG-47	Recover from aborted job	No description	Backlog	Not assigned	2017-12-17T12:14:15.762+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10046
2017-12-17T12:13:58.736+0000	REG-46	Momentaty loss of power	No description	Backlog	Not assigned	2017-12-17T12:13:58.736+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10045
2017-12-17T12:13:32.377+0000	REG-45	Moose fighting elk in the carpark	No description	Backlog	Not assigned	2017-12-17T12:13:32.377+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10044
2017-12-17T12:13:09.573+0000	REG-44	Elks running around in the office	No description	Backlog	Not assigned	2017-12-17T12:13:09.573+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10043
2017-12-17T12:12:50.154+0000	REG-43	Report on git hub pages or wiki	No description	Backlog	Not assigned	2017-12-17T12:12:50.154+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10042
2017-12-17T12:12:25.653+0000	REG-42	Connect to github	No description	Backlog	Not assigned	2017-12-17T12:12:25.653+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10041
2017-12-17T12:12:10.270+0000	REG-41	Stub jira data	No description	Backlog	Not assigned	2017-12-17T12:12:10.270+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10040
2017-12-17T12:11:48.730+0000	REG-40	Port to JavaScript	No description	Backlog	Not assigned	2017-12-17T12:11:48.730+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10039
2017-12-17T12:11:27.448+0000	REG-39	Coffee machine	No description	Backlog	Not assigned	2017-12-17T12:11:27.448+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10038
2017-12-17T12:11:13.742+0000	REG-38	Interactive report generator	No description	Backlog	Not assigned	2017-12-17T12:11:13.742+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10037
2017-12-17T12:10:19.501+0000	REG-37	Sort tables	No description	Backlog	Not assigned	2017-12-17T12:10:19.501+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10036
2017-12-17T12:10:07.669+0000	REG-36	Add exclusions	No description	Backlog	Not assigned	2017-12-17T12:10:07.669+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10035
2017-12-17T12:09:32.072+0000	REG-35	System health report	No description	Backlog	Not assigned	2017-12-17T12:09:32.072+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10034
2017-12-17T12:09:06.207+0000	REG-34	Delete projects	No description	Backlog	Not assigned	2017-12-17T12:09:06.207+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10033
2017-12-17T12:08:59.097+0000	REG-33	Add projects	No description	Backlog	Not assigned	2017-12-17T12:08:59.097+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10032
2017-12-17T12:08:14.621+0000	REG-32	User accounts	No description	Backlog	Not assigned	2017-12-17T12:08:14.621+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10031
2017-12-17T12:07:52.184+0000	REG-31	Backup	No description	Backlog	Not assigned	2017-12-17T12:07:52.184+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10030
2017-12-17T12:07:39.343+0000	REG-30	Calculate velocity	No description	Backlog	Not assigned	2017-12-17T12:07:39.343+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10029
2017-12-17T12:07:27.364+0000	REG-29	Predict completion	No description	Backlog	Not assigned	2017-12-17T12:07:27.364+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10028
2017-12-17T12:07:05.798+0000	REG-28	Log to firebase	No description	Backlog	Not assigned	2017-12-17T12:07:05.798+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10027
2017-12-17T12:06:58.488+0000	REG-27	Log to database	No description	Backlog	Not assigned	2017-12-17T12:06:58.488+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10026
2017-12-17T12:06:37.634+0000	REG-26	Website interface	No description	Backlog	Not assigned	2017-12-17T12:06:37.634+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10025
2017-12-17T12:06:05.289+0000	REG-25	Bint failure	No description	Backlog	Not assigned	2017-12-17T12:06:05.289+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10024
2017-12-17T12:05:34.091+0000	REG-24	Error logging	No description	Backlog	Not assigned	2017-12-17T12:05:34.091+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10023
2017-12-17T12:05:09.029+0000	REG-23	Paging failure	No description	Backlog	Not assigned	2017-12-17T12:05:09.029+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10022
2017-12-17T12:04:56.035+0000	REG-22	Connection failure	No description	Backlog	Not assigned	2017-12-17T12:04:56.035+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10021
2017-12-17T12:04:23.695+0000	REG-21	Alert sensor	No description	Backlog	Not assigned	2017-12-17T12:04:23.695+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10020
2017-12-17T08:24:05.921+0000	REG-20	pagination	No description	Backlog	Not assigned	2017-12-17T08:24:05.921+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10019
2017-12-17T08:23:35.058+0000	REG-19	second text file	No description	Backlog	Not assigned	2017-12-17T08:23:35.058+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10018
2017-12-17T08:23:18.725+0000	REG-18	Exception handling	No description	Backlog	Not assigned	2017-12-17T08:23:18.725+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10017
2017-12-17T08:22:49.537+0000	REG-17	Instructions in readme	No description	Backlog	Not assigned	2017-12-17T08:22:49.537+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10016
2017-12-17T08:21:49.035+0000	REG-16	password storage	No description	Backlog	Not assigned	2017-12-17T08:21:49.035+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10015
2017-12-17T08:21:39.887+0000	REG-15	scheduling	No description	Backlog	Not assigned	2017-12-17T08:21:39.887+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10014
2017-12-17T08:21:19.341+0000	REG-14	setup program	No description	Backlog	Not assigned	2017-12-17T08:21:19.341+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10013
2017-12-17T08:18:02.557+0000	REG-13	Security logging	No description	Backlog	Not assigned	2017-12-17T08:18:02.557+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10012
2017-12-17T08:17:54.608+0000	REG-12	Application logging	No description	Backlog	Not assigned	2017-12-17T08:17:54.608+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10011
2017-12-16T17:12:50.818+0000	REG-11	Create a prototype using an open datasource	No description	Done	kim@nobay.co.uk	2017-12-12T08:21:16.996+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10010
2017-12-16T17:12:13.683+0000	REG-10	Distribute reports	Need to convert to epic. General idea is to send reports by email and or post to a file server so that the emails can just be an alert with links to the reports.	Selected for Development	colingalla@gmail.com	2017-12-11T11:50:37.076+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10009
2017-12-11T11:46:25.481+0000	REG-9	Visualisations	Need to convert to an epic. General idea is to get a report or library of reports, maybe just ascii but more likely some fancy js or even pdf.	Backlog	Not assigned	2017-12-11T11:46:25.481+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10008
2017-12-11T11:44:38.424+0000	REG-8	Configuration manager	This needs conversion to an epic which I can't do in the phone app. Idea is to have some sort of interactive console or window so that a non technical test manager can set up the project without editing files directly.	Backlog	Not assigned	2017-12-11T11:44:38.424+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10007
2017-12-16T17:11:57.656+0000	REG-7	Configure connection using a config file  	As a Test Manager I want the details for a connection such as the target URL and authentication details to be stored in a text file in order to avoid having to edit code when changing the connection.	Selected for Development	jim@strachey.net	2017-12-11T11:35:30.631+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10006
2017-12-11T11:41:08.097+0000	REG-6	High medium and low bugs as a percentage data	As a test manager I want a text file containing the percentage of high medium and low bugs logged every day in order track quality trends  If we're raising lots of bugs but they're all low priority that's probably okay, if the trend is rising high priority bugs then that's terrible!	Backlog	Not assigned	2017-12-10T20:11:10.365+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10005
2017-12-16T17:10:59.685+0000	REG-5	Looks rubbish	Another fake bug.	In Progress	kim@nobay.co.uk	2017-12-10T20:06:27.866+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10004
2017-12-16T17:11:11.753+0000	REG-4	Doesn't exist	Well of course it doesn't, but I need at least one bug in Jira, in order to code against some data.	Done	kim@nobay.co.uk	2017-12-10T20:04:17.790+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10003
2017-12-11T11:40:59.663+0000	REG-3	Open bugs and how long they've been open data	As a test manager I want a text file containing a list of all bugs and how long they've been open in order to allocate resources effectively	Backlog	Not assigned	2017-12-10T20:02:11.928+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10002
2017-12-11T11:40:43.291+0000	REG-2	Bell curve data	As a test manager I want the number of open, new and closed bugs written to a text file every night in order to plot a bell curve.  Text file called bellcurve.txt to contain, tab separated data with the format::    Date   New  Open   Closed    New and closed is the number created new and closed on that date, rather than the cumulative.	Backlog	Not assigned	2017-12-10T19:45:00.173+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10001
2017-12-16T17:11:36.797+0000	REG-1	Data collector	Well I'd pretty happy if we managed to get this done.	In Progress	kim@nobay.co.uk	2017-12-10T19:36:33.184+0000	kim@nobay.co.uk	https://jempython.atlassian.net/rest/api/2/issue/10000
